80.0,7232
79.0,7181
81.0,6533
78.0,6458
77.0,5282
82.0,5233
59.0,5174
60.0,5163
61.0,4570
58.0,4537
76.0,3772
57.0,3668
83.0,3667
62.0,3590
63.0,2588
56.0,2552
84.0,2464
75.0,2349
55.0,1767
64.0,1616
85.0,1395
74.0,1354
54.0,968
65.0,933
73.0,720
86.0,704
53.0,494
66.0,494
72.0,327
87.0,313
52.0,244
67.0,241
88.0,147
71.0,140
68.0,108
51.0,98
70.0,57
69.0,45
89.0,45
140.0,43
133.0,41
134.0,40
135.0,38
50.0,37
128.0,36
129.0,36
124.0,36
143.0,34
147.0,34
132.0,34
123.0,33
145.0,33
142.0,33
120.0,33
126.0,33
137.0,32
122.0,32
130.0,31
131.0,31
141.0,30
121.0,29
136.0,29
149.0,28
138.0,27
125.0,25
127.0,25
139.0,24
144.0,24
148.0,21
146.0,20
90.0,14
49.0,14
91.0,8
48.0,2
44.0,1
92.0,1
