33.0,7024
34.0,6773
32.0,6677
31.0,6644
35.0,6438
30.0,5945
36.0,5846
29.0,5250
37.0,5186
28.0,4656
38.0,4475
27.0,3973
39.0,3734
26.0,3074
40.0,2858
25.0,2493
41.0,2282
24.0,1836
42.0,1698
23.0,1345
43.0,1200
22.0,936
44.0,787
21.0,636
45.0,558
20.0,430
46.0,351
19.0,263
47.0,186
7.0,156
3.0,153
18.0,145
8.0,143
2.0,142
4.0,134
6.0,125
5.0,116
48.0,106
17.0,88
49.0,69
16.0,54
50.0,46
103.0,40
105.0,38
95.0,38
104.0,37
87.0,34
109.0,32
107.0,32
116.0,31
111.0,31
97.0,30
88.0,30
119.0,30
101.0,30
94.0,30
86.0,29
82.0,28
15.0,28
96.0,28
108.0,27
112.0,27
98.0,27
89.0,27
99.0,26
84.0,26
81.0,25
80.0,25
114.0,25
51.0,25
85.0,25
91.0,24
92.0,23
100.0,22
110.0,22
102.0,21
93.0,21
106.0,20
83.0,20
113.0,20
115.0,18
117.0,18
90.0,17
118.0,16
14.0,12
52.0,12
13.0,10
53.0,3
54.0,3
12.0,3
11.0,2
